Horario;Dia;Data;Clube 1;Clube 2;Vencedor;Rodada;Arena;p1;p2;gols;C1 Estado;C2 Estado;Vencedor Estado
16:00;Sábado;13/05/2017;Flamengo;Atlético-MG;-;1ª Rodada;Maracanã;1;1;2;RJ;MG;Empate
19:00;Sábado;13/05/2017;Corinthians;Chapecoense;-;1ª Rodada;Arena Corinthians;1;1;2;SP;SC;Empate
11:00;Domingo;14/05/2017;Fluminense;Santos;Fluminense;1ª Rodada;Maracanã;3;2;5;RJ;SP;RJ
16:00;Domingo;14/05/2017;Cruzeiro;São Paulo;Cruzeiro;1ª Rodada;Mineirão;1;0;1;MG;SP;MG
16:00;Domingo;14/05/2017;Ponte Preta;Sport;Ponte Preta;1ª Rodada;Moisés Lucarelli;4;0;4;SP;PE;SP
16:00;Domingo;14/05/2017;Palmeiras;Vasco;Palmeiras;1ª Rodada;Palestra Ítalia;4;0;4;SP;RJ;SP
16:00;Domingo;14/05/2017;Bahia;Atlético-PR;Bahia;1ª Rodada;Fonte Nova;6;2;8;BH;PR;BH
16:00;Domingo;14/05/2017;Avaí;Vitória;-;1ª Rodada;Ressacada;0;0;0;SC;ES;Empate
19:00;Domingo;14/05/2017;Grêmio;Botafogo;Grêmio;1ª Rodada;Arena do Grêmio;2;0;2;RS;RJ;RS
20:00;Segunda-feira;15/05/2017;Coritiba;Atlético-GO;Coritiba;1ª Rodada;Couto Pereira;4;1;5;PR;GO;PR
16:00;Sábado;20/05/2017;Santos;Coritiba;Santos;2ª Rodada;Vila Belmiro;1;0;1;SP;PR;SP
19:00;Sábado;20/05/2017;Atlético-GO;Flamengo;Flamengo;2ª Rodada;Serra Dourada;0;3;3;GO;RJ;RJ
19:00;Sábado;20/05/2017;Chapecoense;Palmeiras;Chapecoense;2ª Rodada;Arena Condá;1;0;1;SC;SP;SC
11:00;Domingo;21/05/2017;Vasco;Bahia;Vasco;2ª Rodada;São Januário;2;1;3;RJ;BH;RJ
16:00;Domingo;21/05/2017;Atlético-MG;Fluminense;Fluminense;2ª Rodada;Independência;1;2;3;MG;RJ;RJ
16:00;Domingo;21/05/2017;Atlético-PR;Grêmio;Grêmio;2ª Rodada;Arena da Baixada;0;2;2;PR;RS;RS
16:00;Domingo;21/05/2017;Vitória;Corinthians;Corinthians;2ª Rodada;Fonte Nova;0;1;1;ES;SP;SP
18:00;Domingo;21/05/2017;Botafogo;Ponte Preta;Botafogo;2ª Rodada;Engenhão;2;0;2;RJ;SP;RJ
19:00;Domingo;21/05/2017;Sport;Cruzeiro;-;2ª Rodada;Ilha do Retiro;1;1;2;PE;MG;Empate
20:00;Segunda-feira;22/05/2017;São Paulo;Avaí;São Paulo;2ª Rodada;Morumbi;2;0;2;SP;SC;SP
16:00;Sábado;27/05/2017;Vasco;Fluminense;Vasco;3ª Rodada;São Januário;3;2;5;RJ;RJ;RJ
19:00;Sábado;27/05/2017;São Paulo;Palmeiras;São Paulo;3ª Rodada;Morumbi;2;0;2;SP;SP;SP
21:00;Sábado;27/05/2017;Vitória;Coritiba;Coritiba;3ª Rodada;Fonte Nova;0;1;1;ES;PR;PR
11:00;Domingo;28/05/2017;Atlético-MG;Ponte Preta;-;3ª Rodada;Independência;2;2;4;MG;SP;Empate
16:00;Domingo;28/05/2017;Atlético-GO;Corinthians;Corinthians;3ª Rodada;Serra Dourada;0;1;1;GO;SP;SP
16:00;Domingo;28/05/2017;Atlético-PR;Flamengo;-;3ª Rodada;Arena da Baixada;1;1;2;PR;RJ;Empate
16:00;Domingo;28/05/2017;Santos;Cruzeiro;Cruzeiro;3ª Rodada;Vila Belmiro;0;1;1;SP;MG;MG
18:00;Domingo;28/05/2017;Sport;Grêmio;Sport;3ª Rodada;Ilha do Retiro;4;3;7;PE;RS;PE
19:00;Domingo;28/05/2017;Botafogo;Bahia;Botafogo;3ª Rodada;Engenhão;1;0;1;RJ;BH;RJ
20:00;Segunda-feira;29/05/2017;Chapecoense;Avaí;Chapecoense;3ª Rodada;Arena Condá;2;0;2;SC;SC;SC
